Timestamp,Experiment,Dataset,Chunker,Retriever,TopK,Queries,Recall,Precision,HitRate,MRR,Latency(ms),Faithfulness,AnswerRelevancy
2026-07-19 15:01:47,fixed_dense_nq,nq,FixedChunker,dense,5,5,1.0,0.28,1.0,0.9,49.586867000004986,0.8,0.852728009223938
2026-07-19 15:08:46,fixed_bm25_nq,nq,FixedChunker,bm25,5,5,0.8,0.2,1.0,1.0,0.5251836000297772,1.0,0.8571168065071106
2026-07-19 15:15:26,fixed_hybrid_nq,nq,FixedChunker,hybrid,5,5,1.0,0.28,1.0,0.9,56.6779914000108,1.0,0.8540289640426636
2026-07-19 15:22:19,recursive_dense_nq,nq,RecursiveChunker,dense,5,5,1.0,0.28,1.0,1.0,381.8503750000218,0.8,0.8621605277061463
2026-07-19 15:29:45,recursive_bm25_nq,nq,RecursiveChunker,bm25,5,5,0.8,0.2,1.0,0.9,1.1802666000221507,0.8,0.8565912842750549
2026-07-19 15:37:11,recursive_hybrid_nq,nq,RecursiveChunker,hybrid,5,5,1.0,0.28,1.0,1.0,130.73320819994478,0.8,0.8565083265304565
2026-07-19 15:43:46,semantic_dense_nq,nq,SemanticChunker,dense,5,5,1.0,0.28,1.0,1.0,211.54380840007434,1.0,0.8328718781471253
2026-07-19 15:52:15,semantic_bm25_nq,nq,SemanticChunker,bm25,5,5,0.9,0.24000000000000002,1.0,1.0,1.3848249999682594,0.6,0.541065800189972
2026-07-19 16:04:44,semantic_hybrid_nq,nq,SemanticChunker,hybrid,5,5,1.0,0.28,1.0,0.9,59.38100019993726,0.6,0.5387666821479797
2026-07-19 16:11:55,hierarchical_dense_nq,nq,HierarchicalChunker,dense,5,5,1.0,0.28,1.0,0.9,118.54308340007265,1.0,0.8460789561271668
2026-07-19 16:19:17,hierarchical_bm25_nq,nq,HierarchicalChunker,bm25,5,5,0.9,0.24000000000000002,1.0,1.0,1.1189667997314245,1.0,0.8575475096702576
2026-07-19 16:26:10,hierarchical_hybrid_nq,nq,HierarchicalChunker,hybrid,5,5,1.0,0.28,1.0,1.0,144.83951659985905,1.0,0.855901563167572
2026-07-19 16:36:24,adaptive_dense_nq,nq,AdaptiveChunker,dense,5,5,1.0,0.28,1.0,1.0,133.06422459991154,0.8,0.8495277047157288
2026-07-19 16:43:28,adaptive_bm25_nq,nq,AdaptiveChunker,bm25,5,5,0.9,0.24000000000000002,1.0,1.0,1.1519082001541392,1.0,0.8330909729003906
2026-07-19 16:51:59,adaptive_hybrid_nq,nq,AdaptiveChunker,hybrid,5,5,1.0,0.28,1.0,1.0,1379.8981666001055,1.0,0.8530765891075134
2026-07-19 17:01:24,fixed_dense_hotpotqa,hotpotqa,FixedChunker,dense,5,5,1.0,0.2,1.0,0.9,1506.9492248001552,0.0,0.0
2026-07-19 17:12:28,fixed_bm25_hotpotqa,hotpotqa,FixedChunker,bm25,5,5,0.8,0.16,0.8,0.8,1.9054164000408491,0.0,0.0
2026-07-19 17:21:26,fixed_hybrid_hotpotqa,hotpotqa,FixedChunker,hybrid,5,5,1.0,0.2,1.0,0.8666666666666667,498.3248252006888,0.2,0.15288523435592652
2026-07-19 17:32:24,recursive_dense_hotpotqa,hotpotqa,RecursiveChunker,dense,5,5,1.0,0.2,1.0,0.9,377.6379997998447,0.0,0.0
2026-07-19 17:41:43,recursive_bm25_hotpotqa,hotpotqa,RecursiveChunker,bm25,5,5,0.8,0.16,0.8,0.8,1.7103500002122018,0.0,0.0
2026-07-19 17:51:35,recursive_hybrid_hotpotqa,hotpotqa,RecursiveChunker,hybrid,5,5,1.0,0.2,1.0,0.8666666666666667,100.51790840007016,0.2,0.15288523435592652
2026-07-19 18:05:27,semantic_dense_hotpotqa,hotpotqa,SemanticChunker,dense,5,5,1.0,0.2,1.0,1.0,326.4085915998294,0.0,0.0
2026-07-19 18:16:04,semantic_bm25_hotpotqa,hotpotqa,SemanticChunker,bm25,5,5,1.0,0.2,1.0,0.84,1.50229200044123,0.0,0.0
2026-07-19 18:27:33,semantic_hybrid_hotpotqa,hotpotqa,SemanticChunker,hybrid,5,5,1.0,0.2,1.0,0.9,1403.474016600012,0.0,0.0
2026-07-19 18:37:29,hierarchical_dense_hotpotqa,hotpotqa,HierarchicalChunker,dense,5,5,1.0,0.2,1.0,0.9,72.39313320023939,0.0,0.0
2026-07-19 18:48:23,hierarchical_bm25_hotpotqa,hotpotqa,HierarchicalChunker,bm25,5,5,0.8,0.16,0.8,0.8,1.127524799812818,0.2,0.0
2026-07-19 18:57:41,hierarchical_hybrid_hotpotqa,hotpotqa,HierarchicalChunker,hybrid,5,5,1.0,0.2,1.0,0.9,60.041341399846715,0.0,0.0
2026-07-19 19:07:30,adaptive_dense_hotpotqa,hotpotqa,AdaptiveChunker,dense,5,5,1.0,0.2,1.0,1.0,312.5215579999349,0.0,0.0
2026-07-19 19:20:55,adaptive_bm25_hotpotqa,hotpotqa,AdaptiveChunker,bm25,5,5,0.8,0.16,0.8,0.8,2.789566999854287,0.0,0.0
2026-07-19 19:32:49,adaptive_hybrid_hotpotqa,hotpotqa,AdaptiveChunker,hybrid,5,5,1.0,0.2,1.0,1.0,107.63536680024117,0.0,0.0
2026-07-19 19:38:51,fixed_dense_scifact,scifact,FixedChunker,dense,5,4,1.0,0.2,1.0,0.8125,1545.3317707488168,0.5,0.43355661630630493
2026-07-19 19:44:04,fixed_bm25_scifact,scifact,FixedChunker,bm25,5,4,1.0,0.2,1.0,0.8125,3.1631354986529914,0.375,0.4337301552295685
2026-07-19 19:48:52,fixed_hybrid_scifact,scifact,FixedChunker,hybrid,5,4,1.0,0.2,1.0,0.875,160.66646875060542,0.5,0.4308004379272461
2026-07-19 19:53:26,recursive_dense_scifact,scifact,RecursiveChunker,dense,5,4,1.0,0.2,1.0,1.0,54.90418749923265,0.625,0.43514060974121094
2026-07-19 19:58:51,recursive_bm25_scifact,scifact,RecursiveChunker,bm25,5,4,1.0,0.2,1.0,0.875,2.9314375005924376,0.0625,0.0
2026-07-19 20:05:58,recursive_hybrid_scifact,scifact,RecursiveChunker,hybrid,5,4,1.0,0.2,1.0,0.875,890.393989500808,0.5416666666666666,0.4358440935611725
2026-07-19 20:16:14,semantic_dense_scifact,scifact,SemanticChunker,dense,5,4,1.0,0.2,1.0,0.8333333333333334,172.42090625040873,0.75,0.4448886811733246
2026-07-19 20:23:37,semantic_bm25_scifact,scifact,SemanticChunker,bm25,5,4,1.0,0.2,1.0,0.875,2.058604500234651,0.41666666666666663,0.43083977699279785
2026-07-19 20:30:24,semantic_hybrid_scifact,scifact,SemanticChunker,hybrid,5,4,1.0,0.2,1.0,0.875,176.43361424961768,0.5,0.21054016053676605
2026-07-19 20:36:32,hierarchical_dense_scifact,scifact,HierarchicalChunker,dense,5,4,1.0,0.2,1.0,0.8125,1311.0844577504395,0.375,0.4330897331237793
2026-07-19 20:40:45,hierarchical_bm25_scifact,scifact,HierarchicalChunker,bm25,5,4,0.75,0.15000000000000002,0.75,0.75,1.6198020002775593,0.25,0.21997879445552826
2026-07-19 20:46:20,hierarchical_hybrid_scifact,scifact,HierarchicalChunker,hybrid,5,4,1.0,0.2,1.0,0.875,497.96632299967314,0.625,0.4435710310935974
2026-07-19 20:50:55,adaptive_dense_scifact,scifact,AdaptiveChunker,dense,5,4,1.0,0.2,1.0,1.0,187.00894824996794,0.5,0.2084648609161377
2026-07-19 20:55:37,adaptive_bm25_scifact,scifact,AdaptiveChunker,bm25,5,4,1.0,0.2,1.0,0.8125,2.9928955009381752,0.375,0.4350118935108185
2026-07-19 21:00:48,adaptive_hybrid_scifact,scifact,AdaptiveChunker,hybrid,5,4,1.0,0.2,1.0,0.875,250.96487525024713,0.5,0.4285435527563095
